Timestamp,Organization Name,Primary contact email,In which Orange County cities does your organization conduct community outreach? Check all that apply.,Which of the following race/ethnic group(s) describes the communities that your organization reaches? Check all that apply.,In which language(s) does your organization conduct outreach? Check all that apply.,Which of the following demographic characteristic(s) describe the communities that your organization reaches? Check all that apply.,Which of the following outreach activities does your organization conduct to reach communities? Check all that apply.,"If your organization is listed on OC Nonprofit Central, please post the direct link to the profile page here.",Email Address
9/7/2022 10:39:20,Fullerton Collaborative,debrastout@fullertoncollaborative.org,Fullerton,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Korean, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Mailings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/fullerton-collaborative,
9/7/2022 11:31:11,LGBTQ Center OC,peg.corley@lgbtqcenteroc.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/gay-lesbian-community-services-center-of-orange-county,
9/7/2022 12:25:15,"Abrazar, Inc.",m.ortega@abrazarinc.com,"Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Los Alamitos, Newport Beach, Orange, Placentia, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Phone banking, Tabling / flier distribution, Virtual events / gatherings",,
9/7/2022 18:29:41,The Cambodian Family Community Center ,aminasm@cambodianfamily.org,"Anaheim, Costa Mesa, Fountain Valley, Garden Grove, Irvine, Lake Forest, Orange, Santa Ana, Stanton, Tustin, Westminster","Asian American, Latino / Latinx","English, Khmer, Spanish, Vietnamese, Cham ","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","Caravan / parade, Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",,
9/14/2022 15:59:58,PHFE WIC Program,samar@phfewic.org,"Anaheim, Cypress, La Habra, Placentia, Santa Ana","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Arabic, Armenian, Chinese (Cantonese), Chinese (Mandarin), Farsi, Hindi, Japanese, Khmer, Korean, Russian, Spanish, Tagalog, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability","In-person events / gatherings, Virtual events / gatherings",,
9/19/2022 10:50:15,Working Wardrobes,catherinem@workingwardrobes.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/working-wardrobes-for-a-new-start,
9/19/2022 12:34:25,Anaheim Family YMCA,gchua@anaheimymca.org,Anaheim,"Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Houseless individuals & families, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",,
9/21/2022 14:10:16,Vital Link Education & Business Consortium,misha@vitallink.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Translations occur at client sites","Houseless individuals & families, LGBTQ+, Limited English speaking ability, People with disabilities","In-person events / gatherings, Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/vital-link-education-business-consortium,
9/23/2022 17:27:51,Building Skills Partnership,info@buildingskills.org,"Anaheim, Costa Mesa, Garden Grove, Huntington Beach, Irvine, La Habra, Newport Beach, Orange, Santa Ana","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African","English, Spanish","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","In-person events / gatherings, Food / kit distribution, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/building-skills-partnership,
9/28/2022 16:30:23,"Straight Talk Clinic, Inc.",dcampbell@straighttalkcounseling.org,"Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Los Alamitos, Newport Beach, Orange, Placentia, Santa Ana, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Korean, Spanish","Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, Veterans","In-person events / gatherings, Media (TV, radio, newspapers), Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/straighttalkoc,
10/5/2022 10:06:45,Elder Law and Disability Rights Center,bweitzman@eldrcenter.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, We obtain translators as needed.","Houseless individuals & families, Older adults / seniors, People with disabilities","Tabling / flier distribution, Virtual events / gatherings",,
10/5/2022 10:57:49,People for Housing OC,elizabeth@peopleforhousing.org,"Anaheim, Brea, Buena Park, Costa Mesa, Fullerton, Garden Grove, La Habra, Orange, Placentia, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White",English,Houseless individuals & families,"In-person events / gatherings, Media (TV, radio, newspapers), Virtual events / gatherings",,
10/5/2022 16:28:30,Arab American Civic Council,rashad@aaciviccouncil.org,"Anaheim, Fullerton, Garden Grove, Irvine, Mission Viejo",Middle Eastern & North African,"English, Arabic",Immigrants / Refugees,"Door-to-door canvassing, In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/arab-american-civic-council,
